Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Chile,CHL,Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),UIS.ADMI.ENDOFLOWERSEC.MAT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,..
Chile,CHL,Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),UIS.ADMI.ENDOFLOWERSEC.READ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,..
Chile,CHL,"Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics, adjusted gender parity index (GPIA)",UIS.MATH.LOWERSEC.GPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.78025,..,..,..,0.78025,..,..,..,0.68732,..,..,..,..,..,..,..,0.83878,..,..,..,0.73733,..,..,..,..,..
Chile,CHL,"Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics, adjusted location parity index (LPIA)",UIS.MATH.LOWERSEC.LPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.27614,..,..,..,0.8166,..,..,..,0.05818,..,..,..,..,..,..,..,0.2323,..,..,..,0.62344,..,..,..,..,..
Chile,CHL,"Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics, adjusted wealth parity index (WPIA)",UIS.MATH.LOWERSEC.WPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.06235,..,..,..,..,..,..,..,0.18592,..,..,..,0.27705,..,..,..,..,..
Chile,CHL,"Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in reading, adjusted gender parity index (GPIA)",UIS.READ.LOWERSEC.GPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.18082,..,..,..,..,..,1.11464,..,..,1.1504,..,..,1.16573,..,..,1.07146,..,..,1.13182,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, adjusted native parity index (NPIA)",UIS.MATH.LOWERSEC.NPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.04205,..,..,..,1.44805,..,..,..,..,..,..,..,0.82978,..,..,..,0.83419,..,..,..,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, adjusted speaks language of the test parity index (LTPIA)",UIS.MATH.LOWERSEC.LTPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.53102,..,..,..,0.40393,..,..,..,..,..,..,..,0.12099,..,..,..,0.44262,..,..,..,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, both sexes (%)",UIS.MATH.LOWERSEC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.05307,..,..,..,16.05307,..,..,..,15.01175,..,..,..,..,..,..,..,22.95263,..,..,..,27.89217,..,..,..,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, did not speak the language of the test at home, both sexes (%)",UIS.MATH.LOWERSEC.NONLANGTEST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.99565,..,..,..,6.35753,..,..,..,..,..,..,..,2.85714,..,..,..,12.7893,..,..,..,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, female (%)",UIS.MATH.LOWERSEC.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.09638,..,..,..,14.09638,..,..,..,12.13593,..,..,..,..,..,..,..,21.05141,..,..,..,23.61255,..,..,..,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, immigrant background, both sexes (%)",UIS.MATH.LOWERSEC.NONNATIVE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.24468,..,..,..,15.37861,..,..,..,..,..,..,..,19.24665,..,..,..,28.05995,..,..,..,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, male (%)",UIS.MATH.LOWERSEC.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.06644,..,..,..,18.06644,..,..,..,17.65691,..,..,..,..,..,..,..,25.09776,..,..,..,32.02437,..,..,..,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, non-immigrant background, both sexes (%)",UIS.MATH.LOWERSEC.NATIVE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.56157,..,..,..,8.48826,..,..,..,..,..,..,..,23.19477,..,..,..,33.63734,..,..,..,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, rural areas, both sexes (%)",UIS.MATH.LOWERSEC.RURAL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.49352,..,..,..,6.49352,..,..,..,1.5823,..,..,..,..,..,..,..,6.76884,..,..,..,20.71953,..,..,..,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, spoke the language of the test at home, both sexes (%)",UIS.MATH.LOWERSEC.LANGTEST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.94025,..,..,..,15.73922,..,..,..,..,..,..,..,23.61395,..,..,..,28.89459,..,..,..,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, urban areas, both sexes (%)",UIS.MATH.LOWERSEC.URBAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.51489,..,..,..,7.9519,..,..,..,27.19624,..,..,..,..,..,..,..,29.13882,..,..,..,33.23398,..,..,..,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, very affluent socioeconomic background, both sexes (%)",UIS.MATH.LOWERSEC.HIGHSES,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.75162,..,..,..,..,..,..,..,57.8208,..,..,..,61.07926,..,..,..,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, very poor socioeconomic background, both sexes (%)",UIS.MATH.LOWERSEC.LOWSES,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.28633,..,..,..,..,..,..,..,10.74999,..,..,..,16.9223,..,..,..,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, adjusted location parity index (LPIA)",UIS.READ.LOWERSEC.LPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.62615,..,..,..,..,..,0.71885,..,..,0.63941,..,..,0.61836,..,..,..,..,..,0.63123,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, adjusted native parity index (NPIA)",UIS.READ.LOWERSEC.NPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.94672,..,..,..,..,..,1.17052,..,..,0.80074,..,..,1.04919,..,..,0.86233,..,..,0.87947,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, adjusted speaks language of the test parity index (LTPIA)",UIS.READ.LOWERSEC.LTPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5573,..,..,..,..,..,0.8726,..,..,0.59365,..,..,0.69446,..,..,0.78142,..,..,0.90311,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, adjusted wealth parity index (WPIA)",UIS.READ.LOWERSEC.WPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.32557,..,..,..,..,..,0.50742,..,..,0.54727,..,..,0.49513,..,..,0.6229,..,..,0.63246,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, both sexes (%)",UIS.READ.LOWERSEC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.83003,..,..,..,..,..,63.74076,..,..,69.43745,..,..,66.98467,..,..,71.61538,..,..,68.27905,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, did not speak the language of the test at home, both sexes (%)",UIS.READ.LOWERSEC.NONLANGTEST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.08,..,..,..,..,..,55.89,..,..,41.71,..,..,46.98,..,..,56.29035,..,..,62.13495,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, female (%)",UIS.READ.LOWERSEC.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.63,..,..,..,..,..,67.95,..,..,75.2,..,..,72.83,..,..,74.28334,..,..,73.16235,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, immigrant background, both sexes (%)",UIS.READ.LOWERSEC.NONNATIVE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.93,..,..,..,..,..,77.47,..,..,56.46,..,..,70.95,..,..,62.56654,..,..,61.43501,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, male (%)",UIS.READ.LOWERSEC.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.39,..,..,..,..,..,60.16,..,..,63.89,..,..,60.76,..,..,68.9751,..,..,63.51792,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, non-immigrant background, both sexes (%)",UIS.READ.LOWERSEC.NATIVE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.74,..,..,..,..,..,64.26,..,..,70.51,..,..,67.46,..,..,72.55549,..,..,69.85457,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, rural areas, both sexes (%)",UIS.READ.LOWERSEC.RURAL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.62,..,..,..,..,..,48.12,..,..,46.21,..,..,43.86,..,..,..,..,..,46.1274,..,..
Chile,CHL,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, spoke the language of the test at home, both sexes (%)",UIS.READ.LOWERSEC.LANGTEST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.18,..,..,..,..,..,64.05,..,..,70.26,..,..,67.65,..,..,72.03558,..,..,68.80078,..,..
