Code,Indicator Name,Short definition,Long definition,Source,Topic
UIS.ADMI.ENDOFLOWERSEC.MAT,Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),"This indicator evaluates whether a national or cross-national assessment of learning outcomes was conducted in the last 5 years in (a) reading, writing or language and (b) mathematics at the relevant stages of education. The indicator is expressed as a simple ‘yes’ or ‘no’ for each subject area and each stage of education. The implementation of a learning assessment in the reference period serves as an educational vital tool to assess progress. 'Yes’ values indicate that the country is monitoring learning outcomes regularly at the given stage of education and in the given subject areas. This will enable the country to review and adapt as necessary its national policies on education and learning to ensure that all children and young people have the opportunity to acquire basic skills at each education level and in each subject area. Data on the administration of a large-scale assessment from a national representative sample from national learning assessment offices, ministries of education or other bodies responsible for learning assessments, including regional or international organizations running learning assessments (e.g. Conférence des ministres de l'Éducation des États et gouvernements de la Francophonie (CONFEMEN), Educational Quality and Assessment Programme (EQAP), International Association for the Evaluation of Educational Achievement (IEA), Organisation for Economic Co-operation and Development (OECD), Southern and Eastern Africa Consortium for Monitoring Education Quality (SACMEQ) and Third Regional Comparative and Explanatory Study (TERCE). For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/","This indicator evaluates whether a national or cross-national assessment of learning outcomes was conducted in the last 5 years in (a) reading, writing or language and (b) mathematics at the relevant stages of education. The indicator is expressed as a simple ‘yes’ or ‘no’ for each subject area and each stage of education. The implementation of a learning assessment in the reference period serves as an educational vital tool to assess progress. 'Yes’ values indicate that the country is monitoring learning outcomes regularly at the given stage of education and in the given subject areas. This will enable the country to review and adapt as necessary its national policies on education and learning to ensure that all children and young people have the opportunity to acquire basic skills at each education level and in each subject area. Data on the administration of a large-scale assessment from a national representative sample from national learning assessment offices, ministries of education or other bodies responsible for learning assessments, including regional or international organizations running learning assessments (e.g. Conférence des ministres de l'Éducation des États et gouvernements de la Francophonie (CONFEMEN), Educational Quality and Assessment Programme (EQAP), International Association for the Evaluation of Educational Achievement (IEA), Organisation for Economic Co-operation and Development (OECD), Southern and Eastern Africa Consortium for Monitoring Education Quality (SACMEQ) and Third Regional Comparative and Explanatory Study (TERCE). For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/",UNESCO Institute for Statistics,Secondary
UIS.ADMI.ENDOFLOWERSEC.READ,Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),"This indicator evaluates whether a national or cross-national assessment of learning outcomes was conducted in the last 5 years in (a) reading, writing or language and (b) mathematics at the relevant stages of education. The indicator is expressed as a simple ‘yes’ or ‘no’ for each subject area and each stage of education. The implementation of a learning assessment in the reference period serves as an educational vital tool to assess progress. 'Yes’ values indicate that the country is monitoring learning outcomes regularly at the given stage of education and in the given subject areas. This will enable the country to review and adapt as necessary its national policies on education and learning to ensure that all children and young people have the opportunity to acquire basic skills at each education level and in each subject area. Data on the administration of a large-scale assessment from a national representative sample from national learning assessment offices, ministries of education or other bodies responsible for learning assessments, including regional or international organizations running learning assessments (e.g. Conférence des ministres de l'Éducation des États et gouvernements de la Francophonie (CONFEMEN), Educational Quality and Assessment Programme (EQAP), International Association for the Evaluation of Educational Achievement (IEA), Organisation for Economic Co-operation and Development (OECD), Southern and Eastern Africa Consortium for Monitoring Education Quality (SACMEQ) and Third Regional Comparative and Explanatory Study (TERCE). For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/","This indicator evaluates whether a national or cross-national assessment of learning outcomes was conducted in the last 5 years in (a) reading, writing or language and (b) mathematics at the relevant stages of education. The indicator is expressed as a simple ‘yes’ or ‘no’ for each subject area and each stage of education. The implementation of a learning assessment in the reference period serves as an educational vital tool to assess progress. 'Yes’ values indicate that the country is monitoring learning outcomes regularly at the given stage of education and in the given subject areas. This will enable the country to review and adapt as necessary its national policies on education and learning to ensure that all children and young people have the opportunity to acquire basic skills at each education level and in each subject area. Data on the administration of a large-scale assessment from a national representative sample from national learning assessment offices, ministries of education or other bodies responsible for learning assessments, including regional or international organizations running learning assessments (e.g. Conférence des ministres de l'Éducation des États et gouvernements de la Francophonie (CONFEMEN), Educational Quality and Assessment Programme (EQAP), International Association for the Evaluation of Educational Achievement (IEA), Organisation for Economic Co-operation and Development (OECD), Southern and Eastern Africa Consortium for Monitoring Education Quality (SACMEQ) and Third Regional Comparative and Explanatory Study (TERCE). For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/",UNESCO Institute for Statistics,Secondary
UIS.MATH.LOWERSEC.GPIA,"Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics, adjusted gender parity index (GPIA)","The Adjusted Gender Parity Index (GPIA) is calculated by dividing the female value for the indicator by the male value for the indicator. If the resulting value exceeds 1, the ratio is inverted and subtracted from 2. The adjusted gender parity index is symmetrical around 1 and lies in the range 0-2. An adjusted GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females. For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/","The Adjusted Gender Parity Index (GPIA) is calculated by dividing the female value for the indicator by the male value for the indicator. If the resulting value exceeds 1, the ratio is inverted and subtracted from 2. The adjusted gender parity index is symmetrical around 1 and lies in the range 0-2. An adjusted GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females. For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/",UNESCO Institute for Statistics,Secondary
UIS.MATH.LOWERSEC.LPIA,"Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics, adjusted location parity index (LPIA)","The Adjusted Location Parity Index (LPIA) is calculated by dividing the rural value for the indicator by the urban value for the indicator. If the resulting value exceeds 1, the ratio is inverted and subtracted from 2. The adjusted location parity index is symmetrical around 1 and lies in the range 0-2. An adjusted LPI equal to 1 indicates parity between rural and urban locations. In general, a value less than 1 indicates disparity in favor of urban locations and a value greater than 1 indicates disparity in favor of rural locations. For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/","The Adjusted Location Parity Index (LPIA) is calculated by dividing the rural value for the indicator by the urban value for the indicator. If the resulting value exceeds 1, the ratio is inverted and subtracted from 2. The adjusted location parity index is symmetrical around 1 and lies in the range 0-2. An adjusted LPI equal to 1 indicates parity between rural and urban locations. In general, a value less than 1 indicates disparity in favor of urban locations and a value greater than 1 indicates disparity in favor of rural locations. For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/",UNESCO Institute for Statistics,Secondary
UIS.MATH.LOWERSEC.WPIA,"Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics, adjusted wealth parity index (WPIA)","The Adjusted Wealth Parity Index (WPIA) is calculated by dividing the poorest quintile value for the indicator by the richest quintile value for the indicator. If the resulting value exceeds 1, the ratio is inverted and subtracted from 2. The adjusted wealth parity index is symmetrical around 1 and lies in the range 0-2. An adjusted WPI equal to 1 indicates parity between the richest and poorest quintiles. In general, a value less than 1 indicates disparity in favor of the richest quintile and a value greater than 1 indicates disparity in favor of the poorest quintile. For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/","The Adjusted Wealth Parity Index (WPIA) is calculated by dividing the poorest quintile value for the indicator by the richest quintile value for the indicator. If the resulting value exceeds 1, the ratio is inverted and subtracted from 2. The adjusted wealth parity index is symmetrical around 1 and lies in the range 0-2. An adjusted WPI equal to 1 indicates parity between the richest and poorest quintiles. In general, a value less than 1 indicates disparity in favor of the richest quintile and a value greater than 1 indicates disparity in favor of the poorest quintile. For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/",UNESCO Institute for Statistics,Secondary
UIS.READ.LOWERSEC.GPIA,"Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in reading, adjusted gender parity index (GPIA)","The Adjusted Gender Parity Index (GPIA) is calculated by dividing the female value for the indicator by the male value for the indicator. If the resulting value exceeds 1, the ratio is inverted and subtracted from 2. The adjusted gender parity index is symmetrical around 1 and lies in the range 0-2. An adjusted GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females. For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/","The Adjusted Gender Parity Index (GPIA) is calculated by dividing the female value for the indicator by the male value for the indicator. If the resulting value exceeds 1, the ratio is inverted and subtracted from 2. The adjusted gender parity index is symmetrical around 1 and lies in the range 0-2. An adjusted GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females. For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/",UNESCO Institute for Statistics,Secondary
UIS.MATH.LOWERSEC.NPIA,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, adjusted native parity index (NPIA)","The Adjusted Native Parity Index (NPIA) is calculated by dividing the immigrant value for the indicator by the non-immigrant value for the indicator. If the resulting value exceeds 1, the ratio is inverted and subtracted from 2. The adjusted native parity index is symmetrical around 1 and lies in the range 0-2. An adjusted NPI equal to 1 indicates parity between immigrants and non-immigrants. In general, a value less than 1 indicates disparity in favor of non-immigrants and a value greater than 1 indicates disparity in favor of immigrants. For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/","The Adjusted Native Parity Index (NPIA) is calculated by dividing the immigrant value for the indicator by the non-immigrant value for the indicator. If the resulting value exceeds 1, the ratio is inverted and subtracted from 2. The adjusted native parity index is symmetrical around 1 and lies in the range 0-2. An adjusted NPI equal to 1 indicates parity between immigrants and non-immigrants. In general, a value less than 1 indicates disparity in favor of non-immigrants and a value greater than 1 indicates disparity in favor of immigrants. For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/",UNESCO Institute for Statistics,Secondary
UIS.MATH.LOWERSEC.LTPIA,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, adjusted speaks language of the test parity index (LTPIA)","The adjusted speaks language of the test parity index (LTPIA) is calculated by dividing the value for the indicator for students who do not speak the language of the test at home by the value for the indicator for students who speak the language of the test at home. If the resulting value exceeds 1, the ratio is inverted and subtracted from 2. The adjusted speaks language of the test parity index is symmetrical around 1 and lies in the range 0-2. An adjusted LTPI equal to 1 indicates parity between students who do and do not speak the language of the test at home. In general, a value less than 1 indicates disparity in favor of students who speak the language of test at home. A value greater than 1 indicates disparity in favor of students who do not speak the language of the test at home. For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/","The adjusted speaks language of the test parity index (LTPIA) is calculated by dividing the value for the indicator for students who do not speak the language of the test at home by the value for the indicator for students who speak the language of the test at home. If the resulting value exceeds 1, the ratio is inverted and subtracted from 2. The adjusted speaks language of the test parity index is symmetrical around 1 and lies in the range 0-2. An adjusted LTPI equal to 1 indicates parity between students who do and do not speak the language of the test at home. In general, a value less than 1 indicates disparity in favor of students who speak the language of test at home. A value greater than 1 indicates disparity in favor of students who do not speak the language of the test at home. For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/",UNESCO Institute for Statistics,Secondary
UIS.MATH.LOWERSEC,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, both sexes (%)","Percentage of children at the end of lower secondary education reaching at least a minimum proficiency level in mathematics. A minimum proficiency level (MPL) is the benchmark of basic knowledge in a domain (mathematics, reading, etc.) measured through learning assessments. The indicator is calculated as the number of children and/or young people at the relevant stage of education n in a given year t achieving or exceeding the pre-defined proficiency level in a given subject s, expressed as a percentage of the total number of children and/or young people at stage of education n, in year t, in any proficiency level in subject s. The higher the value of the indicator, the higher the proportion of children or young adults who have acquired the minimum level of meaningful competencies. Data are calculated by the UNESCO Institute for Statistics from sources that include the Programme for International Student Assessment (PISA), Programme for International Student Assessment for Development (PISA-D), Trends in International Mathematics and Science Study (TIMSS), Progress in International Reading Literacy Study (PIRLS), El Laboratorio Latino americano de Evaluación de la Calidad de la Educación (LLECE), Programme d’analyse des systèmes éducatifs de la confemen (PASEC), Southern and Eastern Africa Consortium for Monitoring Education Quality (SACMEQ), Pacific Islands Literacy and Numeracy Assessment (PILNA), national assessments data collected through the Catalogue of Learning Assessments (CLA) and/or available in national reports, and population-based assessments (Early Grade Reading Assessment (EGRA) and Early Grade Mathematics Assessment (EGMA), UNICEF Multiple Indicator Cluster Surveys (MICS), People’s Action for Learning (PAL) NETWORK: e.g. Annual Status of Education Report (ASER), UWEZO, etc.)). For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/","Percentage of children at the end of lower secondary education reaching at least a minimum proficiency level in mathematics. A minimum proficiency level (MPL) is the benchmark of basic knowledge in a domain (mathematics, reading, etc.) measured through learning assessments. The indicator is calculated as the number of children and/or young people at the relevant stage of education n in a given year t achieving or exceeding the pre-defined proficiency level in a given subject s, expressed as a percentage of the total number of children and/or young people at stage of education n, in year t, in any proficiency level in subject s. The higher the value of the indicator, the higher the proportion of children or young adults who have acquired the minimum level of meaningful competencies. Data are calculated by the UNESCO Institute for Statistics from sources that include the Programme for International Student Assessment (PISA), Programme for International Student Assessment for Development (PISA-D), Trends in International Mathematics and Science Study (TIMSS), Progress in International Reading Literacy Study (PIRLS), El Laboratorio Latino americano de Evaluación de la Calidad de la Educación (LLECE), Programme d’analyse des systèmes éducatifs de la confemen (PASEC), Southern and Eastern Africa Consortium for Monitoring Education Quality (SACMEQ), Pacific Islands Literacy and Numeracy Assessment (PILNA), national assessments data collected through the Catalogue of Learning Assessments (CLA) and/or available in national reports, and population-based assessments (Early Grade Reading Assessment (EGRA) and Early Grade Mathematics Assessment (EGMA), UNICEF Multiple Indicator Cluster Surveys (MICS), People’s Action for Learning (PAL) NETWORK: e.g. Annual Status of Education Report (ASER), UWEZO, etc.)). For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/",UNESCO Institute for Statistics,Secondary
UIS.MATH.LOWERSEC.NONLANGTEST,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, did not speak the language of the test at home, both sexes (%)","Percentage of children at the end of lower secondary education reaching at least a minimum proficiency level in mathematics. A minimum proficiency level (MPL) is the benchmark of basic knowledge in a domain (mathematics, reading, etc.) measured through learning assessments. The indicator is calculated as the number of children and/or young people at the relevant stage of education n in a given year t achieving or exceeding the pre-defined proficiency level in a given subject s, expressed as a percentage of the total number of children and/or young people at stage of education n, in year t, in any proficiency level in subject s. The higher the value of the indicator, the higher the proportion of children or young adults who have acquired the minimum level of meaningful competencies. Data are calculated by the UNESCO Institute for Statistics from sources that include the Programme for International Student Assessment (PISA), Programme for International Student Assessment for Development (PISA-D), Trends in International Mathematics and Science Study (TIMSS), Progress in International Reading Literacy Study (PIRLS), El Laboratorio Latino americano de Evaluación de la Calidad de la Educación (LLECE), Programme d’analyse des systèmes éducatifs de la confemen (PASEC), Southern and Eastern Africa Consortium for Monitoring Education Quality (SACMEQ), Pacific Islands Literacy and Numeracy Assessment (PILNA), national assessments data collected through the Catalogue of Learning Assessments (CLA) and/or available in national reports, and population-based assessments (Early Grade Reading Assessment (EGRA) and Early Grade Mathematics Assessment (EGMA), UNICEF Multiple Indicator Cluster Surveys (MICS), People’s Action for Learning (PAL) NETWORK: e.g. Annual Status of Education Report (ASER), UWEZO, etc.)). For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/","Percentage of children at the end of lower secondary education reaching at least a minimum proficiency level in mathematics. A minimum proficiency level (MPL) is the benchmark of basic knowledge in a domain (mathematics, reading, etc.) measured through learning assessments. The indicator is calculated as the number of children and/or young people at the relevant stage of education n in a given year t achieving or exceeding the pre-defined proficiency level in a given subject s, expressed as a percentage of the total number of children and/or young people at stage of education n, in year t, in any proficiency level in subject s. The higher the value of the indicator, the higher the proportion of children or young adults who have acquired the minimum level of meaningful competencies. Data are calculated by the UNESCO Institute for Statistics from sources that include the Programme for International Student Assessment (PISA), Programme for International Student Assessment for Development (PISA-D), Trends in International Mathematics and Science Study (TIMSS), Progress in International Reading Literacy Study (PIRLS), El Laboratorio Latino americano de Evaluación de la Calidad de la Educación (LLECE), Programme d’analyse des systèmes éducatifs de la confemen (PASEC), Southern and Eastern Africa Consortium for Monitoring Education Quality (SACMEQ), Pacific Islands Literacy and Numeracy Assessment (PILNA), national assessments data collected through the Catalogue of Learning Assessments (CLA) and/or available in national reports, and population-based assessments (Early Grade Reading Assessment (EGRA) and Early Grade Mathematics Assessment (EGMA), UNICEF Multiple Indicator Cluster Surveys (MICS), People’s Action for Learning (PAL) NETWORK: e.g. Annual Status of Education Report (ASER), UWEZO, etc.)). For more information, consult the UNESCO Institute for Statistics: http://uis.unesco.org/",UNESCO Institute for Statistics,Secondary
