Country Name,Country Code,Series,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Chile,CHL,All staff compensation as % of total expenditure in lower secondary public institutions (%),UIS.XSPENDP.2.FDPUB.FNS,52.2978,55.45445,..,..,52.82707,62.68136,67.6246,87.04395,85.80999,84.69072,86.56051,85.00799,..,..,0,..,..,..,..,56.55236,..,..,..
Chile,CHL,All staff compensation as % of total expenditure in post-secondary non-tertiary public institutions (%),UIS.XSPENDP.4.FDPUB.FNS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,All staff compensation as % of total expenditure in pre-primary public institutions (%),UIS.XSPENDP.0.FDPUB.FNS,33.58476,33.60638,..,..,38.10845,49.23755,74.60707,92.12496,90.94729,91.93373,94.48116,94.19057,..,..,..,..,..,..,..,47.51907,..,..,..
Chile,CHL,All staff compensation as % of total expenditure in primary public institutions (%),UIS.XSPENDP.1.FDPUB.FNS,57.06921,55.10317,..,..,51.37069,62.82418,67.55635,87.26186,86.91665,86.02791,87.78783,86.35404,..,..,..,..,..,..,..,60.83925,..,..,..
Chile,CHL,All staff compensation as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNS,..,54.0478,..,..,52.26742,59.24243,61.67489,78.0773,77.44748,77.45524,79.88743,78.93573,..,..,..,..,..,..,..,54.91285,..,..,..
Chile,CHL,All staff compensation as % of total expenditure in secondary public institutions (%),UIS.XSPENDP.23.FDPUB.FNS,54.03187,49.9621,..,..,50.31422,56.03143,58.36646,85.61129,84.73038,84.99171,86.69219,84.60958,..,..,..,..,..,..,..,57.22845,..,..,..
Chile,CHL,All staff compensation as % of total expenditure in tertiary public institutions (%),UIS.XSPENDP.56.FDPUB.FNS,..,63.69537,..,..,59.8543,61.7286,55.23879,59.09385,59.40714,58.55517,62.0925,61.85665,59.24033,60.48745,..,..,..,..,..,56.66429,..,..,..
Chile,CHL,All staff compensation as % of total expenditure in upper secondary public institutions (%),UIS.XSPENDP.3.FDPUB.FNS,55.12904,46.97172,..,..,48.46689,51.87445,52.80973,84.54183,83.97939,85.17102,86.76969,84.3651,..,..,..,..,..,..,..,57.65342,..,..,..
Chile,CHL,Capital expenditure as % of total expenditure in lower secondary public institutions (%),UIS.XSPENDP.2.FDPUB.FNCAP,8.25615,9.48723,14.35905,..,15.17203,13.83547,15.50662,2.79009,3.65623,3.76828,2.25892,2.28759,..,..,0,..,..,..,..,6.21829,..,..,..
Chile,CHL,Capital expenditure as % of total expenditure in post-secondary non-tertiary public institutions (%),UIS.XSPENDP.4.FDPUB.FNCAP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,Capital expenditure as % of total expenditure in pre-primary public institutions (%),UIS.XSPENDP.0.FDPUB.FNCAP,6.07568,6.40993,5.98232,..,5.47163,4.86585,4.69874,1.6959,2.33254,1.98546,0.92761,0.88645,..,..,..,..,..,..,..,8.06937,..,..,..
Chile,CHL,Capital expenditure as % of total expenditure in primary public institutions (%),UIS.XSPENDP.1.FDPUB.FNCAP,8.59286,9.15747,15.25675,..,16.62966,13.01243,16.54374,2.74317,3.37109,3.43914,2.05264,2.0822,..,..,..,..,..,..,..,5.73333,..,..,..
Chile,CHL,Capital expenditure as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNCAP,..,8.44509,12.8113,..,13.93136,10.79834,12.21057,4.41142,4.95995,4.65086,2.77083,2.9692,..,..,..,..,..,..,..,6.49373,..,..,..
Chile,CHL,Capital expenditure as % of total expenditure in secondary public institutions (%),UIS.XSPENDP.23.FDPUB.FNCAP,9.00271,8.26694,15.32604,..,16.39855,13.13077,15.30534,3.09862,3.93441,3.6942,2.23679,2.34838,..,..,..,..,..,..,..,6.46867,..,..,..
