Country Name,Country Code,Series,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Afan Oromo. 2nd Grade,LO.EGRA.CWPM.AFA.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Afan Oromo. 3rd Grade,LO.EGRA.CWPM.AFA.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Amharic. 2nd Grade,LO.EGRA.CWPM.AMH.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Amharic. 3rd Grade,LO.EGRA.CWPM.AMH.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Arabic. 2nd Grade,LO.EGRA.CWPM.ARB.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Bamanankan. 2nd Grade,LO.EGRA.CWPM.BMN.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Bomu. 2nd Grade,LO.EGRA.CWPM.BOM.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Chichewa. 2nd Grade,LO.EGRA.CWPM.CHC.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Chichewa. 4th Grade,LO.EGRA.CWPM.CHC.4GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). English. 2nd Grade,LO.EGRA.CWPM.ENG.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). English. 3rd Grade,LO.EGRA.CWPM.ENG.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). English. 4th Grade,LO.EGRA.CWPM.ENG.4GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). English. 6th Grade,LO.EGRA.CWPM.ENG.6GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Filipino. 3rd Grade,LO.EGRA.CWPM.FLP.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Fulfulde. 2nd Grade,LO.EGRA.CWPM.FLF.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Hararigna. 2nd Grade,LO.EGRA.CWPM.HAR.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Hararigna. 3rd Grade,LO.EGRA.CWPM.HAR.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Kinyarwanda. 4th Grade,LO.EGRA.CWPM.KNY.4GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Kinyarwanda. 6th Grade,LO.EGRA.CWPM.KNY.6GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Kiswahili. 2nd Grade,LO.EGRA.CWPM.KIS.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Sidaamu Afoo. 2nd Grade,LO.EGRA.CWPM.SID.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Sidaamu Afoo. 3rd Grade,LO.EGRA.CWPM.SID.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Somaligna. 2nd Grade,LO.EGRA.CWPM.SOM.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Somaligna. 3rd Grade,LO.EGRA.CWPM.SOM.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Songhoi. 2nd Grade,LO.EGRA.CWPM.SNG.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Spanish. 2nd Grade,LO.EGRA.CWPM.SPN.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Spanish. 3rd Grade,LO.EGRA.CWPM.SPN.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Spanish. 4th Grade,LO.EGRA.CWPM.SPN.4GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Tigrinya. 2nd Grade,LO.EGRA.CWPM.TIG.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Isolated Words Read Per Minute (Mean). Tigrinya. 3rd Grade,LO.EGRA.CWPM.TIG.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Afan Oromo. 2nd Grade,LO.EGRA.CLPM.AFA.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Afan Oromo. 3rd Grade,LO.EGRA.CLPM.AFA.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Amharic. 2nd Grade,LO.EGRA.CLPM.AMH.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Amharic. 3rd Grade,LO.EGRA.CLPM.AMH.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Bamanankan. 2nd Grade,LO.EGRA.CLPM.BMN.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Bomu. 2nd Grade,LO.EGRA.CLPM.BOM.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Chichewa. 2nd Grade,LO.EGRA.CLPM.CHC.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Chichewa. 4th Grade,LO.EGRA.CLPM.CHC.4GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). English. 2nd Grade,LO.EGRA.CLPM.ENG.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). English. 3rd Grade,LO.EGRA.CLPM.ENG.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). English. 4th Grade,LO.EGRA.CLPM.ENG.4GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). French. 3rd Grade,LO.EGRA.CLPM.FRN.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Fulfulde. 2nd Grade,LO.EGRA.CLPM.FLF.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Hararigna. 2nd Grade,LO.EGRA.CLPM.HAR.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Hararigna. 3rd Grade,LO.EGRA.CLPM.HAR.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Sidaamu Afoo. 2nd Grade,LO.EGRA.CLPM.SID.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Sidaamu Afoo. 3rd Grade,LO.EGRA.CLPM.SID.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Somaligna. 2nd Grade,LO.EGRA.CLPM.SOM.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Somaligna. 3rd Grade,LO.EGRA.CLPM.SOM.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Songhoi. 2nd Grade,LO.EGRA.CLPM.SNG.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Spanish. 2nd Grade,LO.EGRA.CLPM.SPN.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Spanish. 3rd Grade,LO.EGRA.CLPM.SPN.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Spanish. 4th Grade,LO.EGRA.CLPM.SPN.4GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Tigrinya. 2nd Grade,LO.EGRA.CLPM.TIG.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Names Read Per Minute (Mean). Tigrinya. 3rd Grade,LO.EGRA.CLPM.TIG.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Sounds Read Per Minute (Mean). Akuapem. 2nd Grade,LO.EGRA.CLSPM.AKU.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Sounds Read Per Minute (Mean). Arabic. 2nd Grade,LO.EGRA.CLSPM.ARB.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Sounds Read Per Minute (Mean). Arabic. 3rd Grade,LO.EGRA.CLSPM.ARB.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Sounds Read Per Minute (Mean). Asante Twi. 2nd Grade,LO.EGRA.CLSPM.AST.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Sounds Read Per Minute (Mean). Chitonga. 2nd Grade,LO.EGRA.CLSPM.CHI.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Sounds Read Per Minute (Mean). Cinyanja. 2nd Grade,LO.EGRA.CLSPM.CIN.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Sounds Read Per Minute (Mean). Dagaare. 2nd Grade,LO.EGRA.CLSPM.DAG.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Sounds Read Per Minute (Mean). Dagbani. 2nd Grade,LO.EGRA.CLSPM.DAGB.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Sounds Read Per Minute (Mean). Dangme. 2nd Grade,LO.EGRA.CLSPM.DAN.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Sounds Read Per Minute (Mean). English. 2nd Grade,LO.EGRA.CLSPM.ENG.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Letter Sounds Read Per Minute (Mean). English. 3rd Grade,LO.EGRA.CLSPM.ENG.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
